Lista Verbos Irregulares 96 Informacion -> [Verbos en infinitivo],[Verbos en pasado],[Verbos en participio],[Traduccion],[Ejemplo 1 infinitivo],[Ejemplo 2 pasado],[Ejemplo 3 participio];;;;;;
arise;arose;arisen;surgir;Despite difficulties have to arise, we will overcome them.;Difficulties arose, but we overcome them.;New difficulties have arisen in my work.
be;was/were;been;Ser <br>Estar;I want  to be a happy woman.;The child was in the garden playing with his sister.;I have been in London twice this past year.
beat;beat;beaten;golpear;The police had to beat the people in the demonstration.;They beat the thief because he stole his wallet.;My favourite boxer had been beaten so he lost the boxing match.
become;became;become;Convertirse(en) <br>Volverse;Helen wants to become a professional scientist.;I studied hard and I became the best in my class.;Obesity has become a big problem in the First world.
begin;began;begun;Empezar;All the good things must begin with a bit of fear.;It began to rain by the time we left the house.;They had begun to eat before he arrived.
bet;betted/bet;betted/bet;apostar;I have to bet on the horse number 21 to win £30.;Yesterday I betted on the right team.;Rafa had betted with me in a chess game and he lost.
bite;bit;bitten;morder <br>Picar;Mosquitoes can infect a human host with a bite.;The dog bit my leg while I was running.;During the picnic, we had been bitten by mosquitoes.
bleed;bled;bled;sangrar;The nurse pricked my finger and it started to bleed.;The doctor pulled out a tooth and I bled all night.;He has bled three times after the surgery.
blow;blew;blown;soplar;You need to blow hard to make it work.;The birthday girl blew out the candles in one blow.;That terrible windstorm had blown all the trees down.
break;broke;broken;romper;You can't break the company rules.;Accidentally I broke a plate while washing it.;I have broken my phone by mistake.
breed;bred;bred;criar;He has a farm in Mexico which you can visit and breed chicken.;She bred her dog Toy since he was a puppy.;They have bred dogs for many years.
bring;brought;brought;traer;Could you bring me the bill please?;The guests brought a bottle of wine to the dinner.;I have brought my nephew to the party.
build;built;built;construir;We want to build a house on this plot.;My dad built the house we live in.;I have built a sandcastle with my children.
burn;burnt;burnt;quemar;Many people exercise to burn calories.;My mom forgot the oven on and she burnt the dinner.;The historical building was burnt to ashes by vandals.
buy;bought;bought;comprar;I am going to buy the new Samsung Note.;I have to return these jeans I bought last week.;She told her grandson that she had bought a lot of sweets for him.
catch;caught;caught;coger;He paused for a moment to catch his breath.;The police caught the thief in the middle of the robbery.;The thieves were caught when they were coming out of the shop.
choose;chose;chosen;elegir;You have to choose between those two job offers.;The customer chose the red shirt instead of the green one.;They have chosen very bright colors to decorate the living room.
come;came;come;venir;You have to come to my new house, there is a swimming pool.;My brother came from Dallas last week.;You should have come to the party, it was amazing.
cost;cost;cost;costar;That new speaker looks very fancy, it must cost a lot.;His fiance's diamond ring cost a fortune.;It has cost a fortune to travel to Silicon Valley.
